Student_ID,Enrollment_Date,Region,City,Course_Name,Learning_Mode,Fees_Paid,Attendance_Percent,Course_Status,Placement_Status
6328,14-02-2021,West,Kolkata,Data Science,Hybrid,58461.74,48,Completed,Not Placed
6329,14-07-2021,North,Ahmedabad,Python,Online,148349.18,100,Ongoing,Not Placed
6330,20-11-2021,West,Mumbai,AI/ML,Online,65344.24,44,Completed,Not Placed
6331,09-04-2023,Central,Ahmedabad,Web Development,Offline,181496.93,91,Completed,Not Placed
6332,04-07-2021,Central,Bengaluru,Web Development,Offline,77828.25,44,Ongoing,Not Eligible
6333,09-05-2022,South,Bengaluru,Cyber Security,Offline,195871.44,80,Ongoing,Not Eligible
6334,01-07-2021,North,Bengaluru,AI/ML,Hybrid,12687.36,49,Dropped,Placed
6335,30-03-2023,North,Ahmedabad,Data Science,Online,11306.16,73,Ongoing,Not Placed
6336,21-07-2023,South,Kolkata,AI/ML,Offline,109448.13,97,Completed,Not Placed
6337,31-12-2022,North,Kolkata,AI/ML,Offline,117960.86,77,Ongoing,Placed
6338,31-01-2023,North,Kolkata,Cyber Security,Online,82542.37,46,Ongoing,Not Placed
6339,10-07-2022,South,Kolkata,AI/ML,Hybrid,35433.54,88,Completed,Not Placed
6340,10-10-2021,Central,Mumbai,Data Science,Online,95443.54,62,Completed,Not Placed
6341,18-04-2023,North,Delhi,Data Science,Online,222205.17,77,Completed,Not Eligible
6342,25-12-2021,South,Mumbai,Data Science,Hybrid,145462.56,70.10842186,Ongoing,Not Eligible
6343,08-06-2022,West,Ahmedabad,Cyber Security,Online,58360.1,63,Completed,Placed
6344,14-06-2020,East,Pune,Cloud Computing,Offline,238556.4,67,Dropped,Placed
6345,14-11-2022,North,Kolkata,Cloud Computing,Offline,91847.72,62,Ongoing,Not Placed
6346,28-04-2022,West,Delhi,Web Development,Online,81193.16,80,Dropped,Not Eligible
6347,29-03-2021,East,Hyderabad,Data Science,Online,63736.8,90,Ongoing,Not Placed
6348,19-04-2023,North,Mumbai,Python,Online,38375.64,69,Ongoing,Not Placed
6349,10-08-2020,South,Ahmedabad,Python,Offline,40993.99,81,Ongoing,Not Placed
6350,30-12-2021,North,Ahmedabad,Web Development,Offline,183977.76,90,Ongoing,Not Placed
6351,05-03-2021,West,Mumbai,Cloud Computing,Online,229352.11,62,Completed,Placed
6352,19-03-2022,East,Pune,Data Science,Hybrid,220433.76,51,Ongoing,Not Placed
6353,19-06-2022,East,Bengaluru,Data Science,Online,100753.88,73,Dropped,Not Placed
6354,09-03-2023,East,Mumbai,Web Development,Online,107605.49,69,Ongoing,Not Placed
6355,20-04-2023,West,Mumbai,AI/ML,Online,55632.67,93,Ongoing,Not Placed
6356,29-03-2022,East,Chennai,Data Science,Offline,93094.22,62,Ongoing,Placed
6357,14-11-2020,South,Mumbai,Python,Online,110174.91,52,Ongoing,Not Eligible
6358,06-02-2021,South,Pune,Cyber Security,Offline,54786.4,85,Ongoing,Placed
6359,31-01-2022,West,Bengaluru,Web Development,Offline,56100.4,89,Ongoing,Placed
6360,04-05-2023,North,Kolkata,Python,Hybrid,210962.66,55,Completed,Placed
6361,12-12-2022,East,Mumbai,Python,Offline,87298.96,43,Completed,Placed
6362,26-02-2021,Central,Kolkata,Python,Online,125173.56,42,Completed,Not Placed
6363,26-04-2022,West,Hyderabad,Data Science,Online,240902.29,88,Ongoing,Not Placed
6364,23-12-2020,Central,Mumbai,Web Development,Online,204659.86,44,Completed,Not Placed
6365,11-09-2022,Central,Bengaluru,Python,Hybrid,46594.13,72,Dropped,Placed
6366,11-07-2023,West,Ahmedabad,AI/ML,Hybrid,166469.18,98,Completed,Not Placed
6367,13-09-2021,North,Hyderabad,AI/ML,Offline,167896.22,40,Ongoing,Placed
6368,08-05-2023,West,Ahmedabad,Python,Online,185209.63,86,Ongoing,Not Eligible
6369,16-04-2023,East,Kolkata,Web Development,Hybrid,91300.44,70,Dropped,Not Eligible
6370,26-02-2023,East,Hyderabad,Data Science,Hybrid,84108.41,41,Completed,Not Eligible
6371,03-06-2020,West,Bengaluru,Cyber Security,Online,106290.73,44,Completed,Placed
6372,05-02-2022,North,Ahmedabad,Cyber Security,Hybrid,135159.03,81,Ongoing,Not Placed
6373,21-03-2022,Central,Delhi,Python,Hybrid,195292.79,87,Completed,Not Placed
6374,10-06-2023,West,Ahmedabad,Data Science,Offline,232985.89,60,Completed,Not Placed
6375,24-08-2023,North,Bengaluru,AI/ML,Online,215433.86,46,Ongoing,Not Eligible
6376,25-11-2021,East,Chennai,Cyber Security,Offline,162589.21,66,Dropped,Not Placed
6377,26-02-2021,East,Pune,Data Science,Online,145729.5,97,Ongoing,Not Eligible
6378,29-07-2023,North,Chennai,Web Development,Hybrid,131078.98,66,Dropped,Placed
6379,21-03-2023,South,Pune,Cyber Security,Offline,67175.94,99,Ongoing,Not Eligible
6380,25-10-2020,East,Ahmedabad,Python,Online,132871.26,55,Dropped,Not Placed
6381,03-11-2021,West,Kolkata,Python,Hybrid,105393.53,72,Ongoing,Not Placed
6382,28-08-2021,West,Ahmedabad,Python,Offline,220040.79,58,Ongoing,Not Placed
6383,13-12-2022,East,Pune,Cyber Security,Offline,132089.19,55,Ongoing,Not Placed
6384,16-07-2021,Central,Kolkata,Web Development,Hybrid,73981.64,92,Completed,Not Eligible
6385,21-08-2023,South,Chennai,Web Development,Hybrid,213219.62,70,Completed,Placed
6386,13-11-2021,South,Hyderabad,Cyber Security,Online,195596.46,84,Ongoing,Placed
6387,15-11-2021,North,Delhi,Python,Offline,66663.67,60,Ongoing,Not Placed
6388,30-05-2022,Central,Ahmedabad,Web Development,Hybrid,89350.98,70.10842186,Completed,Not Placed
6389,30-08-2020,East,Ahmedabad,AI/ML,Offline,242269.57,77,Completed,Placed
6390,12-01-2023,South,Bengaluru,Web Development,Hybrid,181341.36,59,Ongoing,Not Placed
6391,15-02-2023,West,Ahmedabad,Cloud Computing,Online,139303.22,72,Ongoing,Not Placed
6392,30-03-2023,East,Bengaluru,Data Science,Hybrid,216722.18,78,Completed,Placed
6393,25-09-2020,South,Kolkata,Web Development,Offline,166187.84,52,Ongoing,Not Placed
6394,20-03-2023,East,Bengaluru,Data Science,Hybrid,186829.07,55,Ongoing,Placed
6395,10-02-2021,West,Delhi,Web Development,Offline,72756.36,82,Ongoing,Not Placed
6396,04-05-2021,West,Bengaluru,Python,Online,165804.75,71,Ongoing,Not Eligible
6397,18-06-2021,Central,Hyderabad,Python,Offline,85589.22,89,Completed,Not Eligible
6398,04-06-2021,East,Bengaluru,AI/ML,Offline,43305.97,55,Ongoing,Not Eligible
6399,29-05-2023,West,Ahmedabad,Cyber Security,Offline,12563.92,85,Dropped,Placed
6400,14-04-2023,South,Bengaluru,AI/ML,Hybrid,81237.42,96,Ongoing,Placed
6401,20-03-2023,South,Hyderabad,Web Development,Online,109562.36,57,Completed,Not Placed
6402,15-07-2020,North,Chennai,Python,Offline,76758.61,66,Ongoing,Placed
6403,06-03-2022,North,Delhi,Web Development,Online,42620.74,75,Completed,Not Placed
6404,18-06-2021,West,Bengaluru,Data Science,Offline,160029.51,41,Ongoing,Not Eligible
6405,07-08-2023,South,Hyderabad,Cloud Computing,Offline,170119.7,58,Ongoing,Not Placed
6406,16-01-2021,West,Chennai,Cyber Security,Online,132752.37,48,Dropped,Not Placed
6407,17-05-2021,Central,Bengaluru,Data Science,Hybrid,30034.64,78,Completed,Not Placed
6408,16-03-2021,North,Kolkata,Python,Offline,191062.7,71,Completed,Not Placed
6409,08-11-2021,West,Chennai,Web Development,Online,223303.16,76,Completed,Not Placed
6410,25-08-2020,West,Ahmedabad,Web Development,Online,46363.71,88,Ongoing,Not Placed
6411,16-01-2023,West,Chennai,Web Development,Online,111598.3,99,Dropped,Not Eligible
6412,23-07-2020,East,Ahmedabad,AI/ML,Online,177071,73,Completed,Not Eligible
6413,17-03-2021,Central,Hyderabad,AI/ML,Online,219281.6,56,Dropped,Not Placed
6414,02-03-2022,West,Delhi,AI/ML,Online,170772.88,95,Ongoing,Placed
6415,16-06-2023,Central,Ahmedabad,Data Science,Online,121085.27,53,Ongoing,Not Eligible
6416,28-08-2021,West,Pune,Data Science,Online,70276.01,67,Ongoing,Placed
6417,22-11-2021,Central,Chennai,Data Science,Online,23418.37,93,Dropped,Not Eligible
6418,14-07-2020,West,Bengaluru,AI/ML,Online,27335.29,68,Ongoing,Placed
6419,09-09-2020,West,Mumbai,Data Science,Offline,16053.94,88,Ongoing,Not Placed
6420,27-12-2021,West,Mumbai,Cyber Security,Online,84144.38,43,Dropped,Not Placed
6421,17-06-2022,North,Delhi,Cyber Security,Offline,34337.52,100,Completed,Placed
6422,19-10-2021,West,Mumbai,Web Development,Online,113476.08,66,Completed,Not Placed
6423,09-07-2022,North,Chennai,Data Science,Online,82873.46,64,Ongoing,Not Eligible
6424,05-04-2022,South,Bengaluru,Web Development,Hybrid,8313.75,89,Dropped,Not Placed
6425,16-01-2021,South,Mumbai,Python,Offline,106830.54,62,Ongoing,Not Eligible
6426,16-03-2022,East,Chennai,Cyber Security,Online,227672.08,100,Ongoing,Not Placed
6427,25-09-2020,East,Bengaluru,Data Science,Hybrid,219856.15,99,Ongoing,Not Placed
6428,29-06-2021,South,Kolkata,Cyber Security,Online,87297.95,49,Ongoing,Placed
6429,16-12-2020,West,Ahmedabad,Web Development,Online,148354.33,82,Completed,Not Placed
6430,11-06-2021,North,Kolkata,Python,Online,208429.89,85,Ongoing,Not Placed
6431,25-04-2023,East,Chennai,Cloud Computing,Hybrid,155036.81,90,Ongoing,Not Placed
6432,31-10-2022,Central,Ahmedabad,Web Development,Online,193725.47,44,Dropped,Placed
6433,11-08-2021,West,Delhi,AI/ML,Online,61072.23,54,Ongoing,Placed
6434,21-03-2023,North,Hyderabad,Data Science,Online,235724.53,70.10842186,Ongoing,Placed
6435,10-01-2022,North,Ahmedabad,Python,Online,236108.29,65,Ongoing,Not Eligible
6436,11-05-2022,Central,Kolkata,Cyber Security,Hybrid,222331.08,90,Ongoing,Not Placed
6437,03-04-2023,East,Kolkata,Python,Online,68488.15,59,Dropped,Not Eligible
6438,13-03-2022,North,Hyderabad,Web Development,Offline,216523.69,47,Dropped,Not Eligible
6439,04-10-2022,Central,Chennai,Data Science,Hybrid,146178.48,59,Dropped,Not Placed
6440,07-08-2023,West,Delhi,Cyber Security,Hybrid,54277.03,80,Completed,Not Placed
6441,15-07-2022,East,Chennai,Cyber Security,Hybrid,115880.62,88,Dropped,Placed
6442,14-11-2021,South,Pune,Python,Offline,228828.45,66,Completed,Not Placed
6443,23-04-2022,South,Mumbai,Data Science,Hybrid,205210.81,53,Dropped,Not Placed
6444,28-11-2021,West,Delhi,Python,Hybrid,13295.4,64,Dropped,Placed
6445,05-01-2022,South,Delhi,AI/ML,Offline,48760.94,98,Ongoing,Placed
6446,10-06-2021,West,Pune,AI/ML,Offline,46886.91,78,Ongoing,Placed
6447,20-10-2022,North,Ahmedabad,AI/ML,Online,114755.83,60,Completed,Placed
6448,07-09-2020,Central,Chennai,AI/ML,Online,147238.63,88,Ongoing,Placed
6449,22-01-2022,West,Ahmedabad,Python,Offline,170224.15,55,Ongoing,Placed
6450,30-05-2023,East,Chennai,Cyber Security,Online,44800.8,82,Ongoing,Not Placed
6451,21-01-2022,West,Kolkata,Python,Hybrid,182394.21,56,Ongoing,Not Placed
6452,20-01-2023,West,Pune,AI/ML,Online,195038.49,43,Ongoing,Not Placed
6453,08-11-2020,West,Kolkata,Cyber Security,Hybrid,60301.27,65,Completed,Not Eligible
6454,30-06-2020,West,Delhi,Web Development,Online,131225.2,69,Ongoing,Not Placed
6455,03-12-2022,West,Pune,Cyber Security,Hybrid,166682.91,50,Dropped,Not Eligible
6456,20-09-2020,East,Pune,Cyber Security,Offline,165596.76,88,Dropped,Placed
6457,28-02-2021,West,Chennai,Python,Hybrid,76024.68,96,Ongoing,Placed
6458,24-08-2020,South,Mumbai,AI/ML,Online,140646.2,62,Completed,Placed
6459,23-06-2023,South,Hyderabad,Cyber Security,Hybrid,190359.55,82,Completed,Placed
6460,19-04-2022,East,Ahmedabad,Data Science,Hybrid,102686.99,78,Ongoing,Not Placed
6461,15-01-2021,West,Mumbai,Python,Offline,123248.92,53,Completed,Placed
6462,19-07-2021,North,Delhi,Python,Hybrid,103107.41,51,Ongoing,Not Placed
6463,14-12-2022,East,Bengaluru,AI/ML,Offline,13032.94,43,Ongoing,Placed
6464,01-05-2022,North,Hyderabad,Web Development,Hybrid,242070.81,77,Ongoing,Placed
6465,04-06-2021,South,Bengaluru,Python,Online,204788.52,43,Ongoing,Not Placed
6466,10-08-2020,West,Pune,Python,Hybrid,67269.62,68,Ongoing,Placed
6467,14-06-2020,South,Delhi,Cyber Security,Online,19336.89,87,Ongoing,Not Placed
6468,13-08-2022,North,Mumbai,AI/ML,Offline,199626.21,66,Completed,Placed
6469,07-11-2020,West,Ahmedabad,AI/ML,Offline,234046.72,67,Completed,Not Eligible
6470,12-09-2020,Central,Bengaluru,Data Science,Offline,93984.85,46,Completed,Placed
6471,16-05-2021,South,Ahmedabad,Cloud Computing,Offline,91975.81,58,Ongoing,Not Eligible
6472,24-12-2020,North,Bengaluru,Data Science,Online,149510.55,53,Ongoing,Not Placed
6473,24-06-2022,South,Mumbai,Cyber Security,Hybrid,112814.84,42,Completed,Placed
6474,22-01-2021,Central,Ahmedabad,Web Development,Online,204557.68,99,Completed,Not Placed
6475,06-11-2022,Central,Hyderabad,Data Science,Online,233352.45,81,Ongoing,Not Placed
6476,02-10-2020,East,Chennai,Cloud Computing,Offline,38617.83,89,Ongoing,Not Placed
6477,13-09-2020,South,Kolkata,AI/ML,Offline,166775.31,61,Completed,Placed
6478,11-08-2020,North,Mumbai,Data Science,Hybrid,233616.22,73,Completed,Not Placed
6479,01-08-2022,West,Delhi,AI/ML,Hybrid,79312.83,55,Completed,Placed
6480,28-10-2022,North,Pune,Web Development,Online,95949,86,Dropped,Placed
6481,20-04-2023,West,Bengaluru,Python,Offline,150313.38,52,Ongoing,Not Placed
6482,06-01-2023,Central,Mumbai,AI/ML,Offline,80832.83,70.10842186,Dropped,Not Eligible
6483,23-04-2022,West,Chennai,AI/ML,Online,237256.73,68,Ongoing,Placed
6484,28-10-2022,North,Bengaluru,Web Development,Offline,132866.87,65,Ongoing,Not Placed
6485,02-01-2023,South,Delhi,Python,Hybrid,180197.46,42,Completed,Not Placed
6486,15-05-2022,Central,Pune,Python,Hybrid,172439.38,72,Dropped,Placed
6487,04-03-2021,Central,Pune,Cyber Security,Hybrid,82127.8,42,Completed,Placed
6488,11-08-2023,Central,Chennai,AI/ML,Offline,64459.33,77,Ongoing,Placed
6489,28-01-2022,North,Hyderabad,AI/ML,Online,86205.04,49,Dropped,Placed
6490,25-02-2021,East,Kolkata,Data Science,Online,58799.55,65,Dropped,Not Eligible
6491,20-10-2020,Central,Mumbai,Cyber Security,Offline,87520.14,63,Dropped,Not Placed
6492,23-10-2020,North,Delhi,Web Development,Online,193481.15,63,Ongoing,Not Placed
6493,20-03-2023,North,Delhi,Web Development,Offline,55855.4,85,Ongoing,Not Eligible
6494,18-01-2022,Central,Hyderabad,Data Science,Offline,102920.27,88,Completed,Not Eligible
6495,27-12-2020,East,Mumbai,Python,Hybrid,109893.25,62,Ongoing,Not Placed
6496,18-12-2020,Central,Mumbai,AI/ML,Online,84132.81,80,Dropped,Not Eligible
6497,05-08-2021,North,Bengaluru,Cyber Security,Online,150160.06,46,Completed,Not Placed
6498,16-03-2022,South,Chennai,AI/ML,Online,237592.13,55,Completed,Not Eligible
6499,11-11-2020,East,Ahmedabad,AI/ML,Offline,228896.32,58,Ongoing,Placed
6500,22-08-2021,Central,Mumbai,Python,Offline,90688.09,71,Ongoing,Placed
6501,02-01-2022,South,Pune,Web Development,Online,189081.82,94,Completed,Placed
6502,25-12-2021,North,Mumbai,Data Science,Hybrid,199382.04,48,Ongoing,Placed
6503,09-01-2022,Central,Hyderabad,Data Science,Offline,229437.07,60,Ongoing,Not Placed
6504,05-05-2023,South,Ahmedabad,Data Science,Online,120258.01,91,Completed,Not Placed
6505,20-05-2021,East,Kolkata,Data Science,Offline,83621.56,55,Ongoing,Not Placed
6506,13-07-2020,Central,Chennai,Web Development,Online,127754.77,95,Completed,Not Eligible
6507,15-08-2021,West,Delhi,Python,Online,82387.67,81,Completed,Not Eligible
6508,30-04-2021,South,Delhi,Data Science,Offline,42552.03,53,Completed,Placed
6509,29-05-2021,West,Hyderabad,Web Development,Hybrid,67265.89,69,Ongoing,Not Eligible
6510,13-06-2021,West,Mumbai,Cyber Security,Online,219113.05,44,Dropped,Not Placed
6511,26-11-2022,West,Bengaluru,AI/ML,Online,122741.21,48,Completed,Not Eligible
6512,07-12-2021,South,Delhi,Cloud Computing,Hybrid,159829.28,67,Completed,Not Placed
6513,01-07-2020,South,Mumbai,Web Development,Hybrid,165840.43,70,Completed,Placed
6514,16-08-2022,East,Hyderabad,AI/ML,Online,81235.66,44,Completed,Placed
6515,27-03-2022,Central,Bengaluru,AI/ML,Online,141118.6,57,Ongoing,Not Placed
6516,10-10-2021,West,Kolkata,Data Science,Online,73287.01,87,Ongoing,Placed
6517,25-09-2021,North,Pune,Cyber Security,Online,204848.89,40,Dropped,Not Placed
6518,29-10-2021,Central,Delhi,Python,Offline,119666.14,87,Ongoing,Not Placed
6519,13-12-2020,East,Hyderabad,Data Science,Online,56927.47,100,Ongoing,Not Eligible
6520,17-06-2022,Central,Kolkata,AI/ML,Offline,158782.71,65,Completed,Not Eligible
6521,10-08-2020,Central,Bengaluru,AI/ML,Online,11842.26,52,Ongoing,Placed
6522,25-03-2021,North,Chennai,Cloud Computing,Online,82229.82,60,Ongoing,Placed
6523,05-08-2023,South,Hyderabad,AI/ML,Hybrid,150346.67,61,Completed,Placed
6524,12-01-2023,Central,Chennai,Cloud Computing,Online,180476.07,45,Ongoing,Not Eligible
6525,18-10-2020,South,Bengaluru,Data Science,Offline,34478.42,80,Ongoing,Placed
6526,06-10-2022,North,Delhi,AI/ML,Online,97800.17,60,Ongoing,Not Placed
6527,14-11-2022,West,Hyderabad,Data Science,Offline,9939.4,80,Ongoing,Not Eligible
6528,22-09-2021,East,Kolkata,Python,Offline,191068.89,72,Ongoing,Not Eligible
6529,14-09-2022,Central,Kolkata,Cyber Security,Online,150536.79,88,Ongoing,Not Placed
6530,28-11-2020,Central,Kolkata,Python,Offline,114247.38,70.10842186,Ongoing,Placed
6531,13-08-2023,East,Mumbai,Web Development,Offline,111834.14,43,Ongoing,Not Eligible
6532,31-10-2021,West,Mumbai,Cyber Security,Hybrid,171446.99,69,Ongoing,Placed
6533,09-08-2020,North,Bengaluru,Data Science,Online,187333.29,59,Ongoing,Placed
6534,27-01-2023,North,Bengaluru,Data Science,Offline,32878.75,78,Ongoing,Placed
6535,03-03-2021,West,Chennai,Cyber Security,Offline,208416.89,66,Dropped,Placed
6536,01-04-2023,East,Hyderabad,Web Development,Offline,79483.34,70,Ongoing,Placed
6537,09-06-2023,East,Delhi,Data Science,Online,212876.51,42,Ongoing,Not Eligible
6538,05-08-2023,North,Pune,Python,Online,157992.4,64,Ongoing,Placed
6539,30-06-2020,East,Hyderabad,Python,Online,53468.87,49,Completed,Not Placed
6540,23-07-2023,Central,Bengaluru,Cyber Security,Online,209376.16,76,Ongoing,Not Placed
6541,10-11-2022,West,Chennai,AI/ML,Online,39100.55,86,Ongoing,Not Eligible
6542,18-12-2021,West,Hyderabad,Cyber Security,Online,115357.81,79,Dropped,Placed
6543,20-04-2022,South,Chennai,Cyber Security,Online,241823.79,97,Ongoing,Placed
6544,17-01-2021,West,Bengaluru,Web Development,Online,31579.27,52,Completed,Not Eligible
6545,21-06-2023,South,Chennai,Data Science,Online,188222.92,62,Ongoing,Not Eligible
6546,20-05-2022,West,Bengaluru,Web Development,Hybrid,194935.95,82,Completed,Not Eligible
6547,12-08-2023,North,Bengaluru,Python,Offline,95495.89,57,Dropped,Not Placed
6548,24-03-2023,Central,Hyderabad,Python,Offline,220012.69,90,Ongoing,Not Placed
6549,01-04-2021,Central,Mumbai,Data Science,Hybrid,154823.36,61,Ongoing,Placed
6550,17-05-2021,South,Bengaluru,AI/ML,Offline,235117.88,75,Completed,Not Placed
6551,06-01-2021,South,Pune,AI/ML,Online,93600.78,64,Ongoing,Not Placed
6552,27-03-2023,East,Kolkata,Data Science,Online,205571.63,41,Ongoing,Placed
6553,31-01-2021,East,Hyderabad,Data Science,Hybrid,163048.52,100,Ongoing,Not Eligible
6554,28-07-2020,Central,Bengaluru,AI/ML,Online,27281.86,45,Completed,Not Eligible
6555,28-12-2021,West,Bengaluru,Cyber Security,Offline,176449.19,57,Ongoing,Placed
6556,19-11-2020,South,Hyderabad,AI/ML,Online,184711.01,47,Dropped,Not Eligible
6557,24-10-2020,West,Delhi,Cyber Security,Online,90948.11,47,Completed,Placed
6558,25-02-2021,North,Mumbai,Python,Online,92870.93,58,Completed,Placed
6559,31-08-2020,North,Chennai,Python,Offline,117573.02,46,Completed,Placed
6560,08-06-2022,North,Hyderabad,AI/ML,Online,99851.86,54,Completed,Placed
6561,30-07-2020,South,Bengaluru,Web Development,Online,15467.96,94,Ongoing,Not Placed
6562,11-07-2020,West,Kolkata,Web Development,Online,26266.05,79,Ongoing,Not Eligible
6563,05-01-2022,South,Chennai,AI/ML,Online,217480.67,81,Dropped,Not Placed
6564,21-06-2020,East,Pune,Cloud Computing,Hybrid,238997.62,64,Completed,Placed
6565,13-11-2020,East,Bengaluru,Data Science,Online,188042.5,93,Ongoing,Not Placed
6566,30-10-2022,North,Kolkata,Data Science,Online,122624.84,42,Dropped,Not Eligible
6567,24-04-2023,South,Ahmedabad,Python,Online,160593.24,66,Ongoing,Not Eligible
6568,21-10-2022,Central,Mumbai,Data Science,Offline,128085.99,59,Ongoing,Placed
6569,22-02-2023,South,Mumbai,Data Science,Online,197687.98,84,Ongoing,Placed
6570,10-11-2021,North,Mumbai,Cyber Security,Hybrid,59886.92,66,Ongoing,Placed
6571,06-09-2022,East,Hyderabad,Data Science,Offline,51481.57,93,Completed,Not Eligible
6572,15-08-2020,West,Hyderabad,Python,Online,17688.76,85,Dropped,Not Placed
6573,27-06-2023,South,Ahmedabad,Python,Hybrid,19638.02,62,Completed,Not Placed
6574,21-04-2023,West,Delhi,Data Science,Hybrid,223928.64,61,Dropped,Placed
6575,01-10-2022,West,Pune,AI/ML,Offline,28356.14,52,Completed,Not Placed
6576,13-12-2022,Central,Kolkata,Cloud Computing,Online,54234.01,73,Ongoing,Placed
6577,11-08-2023,Central,Kolkata,Web Development,Online,152355.34,55,Ongoing,Placed
6578,25-03-2023,South,Bengaluru,Cyber Security,Online,170882.87,88,Completed,Not Placed
6579,12-11-2020,Central,Bengaluru,Cyber Security,Hybrid,164761.96,82,Completed,Not Placed
6580,13-09-2023,Central,Mumbai,Python,Offline,43937.27,60,Ongoing,Placed
6581,28-11-2020,North,Delhi,Cyber Security,Online,119309.79,69,Dropped,Not Eligible
6582,29-12-2022,North,Bengaluru,Web Development,Online,77275.78,84,Dropped,Not Placed
6583,03-03-2022,Central,Chennai,AI/ML,Online,170469.64,71,Completed,Placed
6584,03-11-2022,North,Bengaluru,Cyber Security,Online,104612.98,41,Ongoing,Placed
6585,18-07-2022,West,Hyderabad,AI/ML,Offline,101056.34,96,Ongoing,Placed
6586,10-04-2021,North,Delhi,AI/ML,Hybrid,102918.22,46,Ongoing,Not Placed
6587,28-11-2020,East,Pune,Data Science,Online,76358.78,77,Completed,Not Placed
6588,20-07-2021,West,Mumbai,Python,Hybrid,67427.92,48,Dropped,Not Eligible
6589,03-05-2022,Central,Hyderabad,Cloud Computing,Online,91042.51,92,Completed,Placed
6590,28-12-2021,North,Pune,Web Development,Online,203456.21,68,Completed,Not Eligible
6591,17-10-2022,West,Bengaluru,Python,Offline,240335.93,65,Ongoing,Placed
6592,04-12-2022,Central,Mumbai,Data Science,Hybrid,167193.07,73,Ongoing,Not Placed
6593,24-11-2020,East,Delhi,AI/ML,Hybrid,29286.27,88,Ongoing,Not Placed
6594,06-07-2022,East,Delhi,AI/ML,Online,6812.42,74,Completed,Not Placed
6595,23-12-2022,South,Ahmedabad,Cloud Computing,Hybrid,6225.13,58,Ongoing,Not Placed
6596,17-11-2020,West,Bengaluru,AI/ML,Offline,221927.02,94,Completed,Not Placed
6597,10-05-2022,West,Pune,Python,Hybrid,93711.96,86,Dropped,Not Placed
6598,19-08-2020,South,Chennai,Cyber Security,Online,128672.16,64,Dropped,Not Placed
6599,13-08-2020,North,Ahmedabad,Cyber Security,Online,100188.88,96,Completed,Not Placed
6600,23-08-2022,West,Bengaluru,AI/ML,Online,66018,82,Ongoing,Placed
6601,16-05-2022,West,Chennai,Cyber Security,Online,248619.87,46,Dropped,Not Placed
6602,16-11-2022,South,Pune,Python,Offline,129756.62,97,Ongoing,Placed
6603,17-03-2023,South,Bengaluru,Data Science,Online,39853.53,82,Ongoing,Not Placed
6604,15-06-2021,North,Delhi,Python,Offline,188315.55,94,Ongoing,Not Placed
6605,15-04-2022,North,Ahmedabad,Data Science,Online,143243.85,90,Ongoing,Placed
6606,13-09-2020,East,Mumbai,Python,Online,208539.82,79,Completed,Not Placed
6607,19-06-2022,East,Mumbai,AI/ML,Online,51736.65,97,Ongoing,Placed
6608,14-04-2022,North,Mumbai,Python,Online,215306.89,46,Ongoing,Not Placed
6609,15-08-2021,North,Delhi,Python,Offline,10843.87,52,Dropped,Placed
6610,15-01-2022,Central,Mumbai,AI/ML,Online,49758.58,71,Ongoing,Not Placed
6611,16-08-2023,East,Hyderabad,Python,Hybrid,74430.09,64,Ongoing,Not Placed
6612,24-07-2023,West,Mumbai,Data Science,Online,18937.68,62,Completed,Not Placed
6613,24-12-2022,Central,Chennai,Data Science,Hybrid,228034.81,51,Ongoing,Not Placed
6614,17-06-2023,South,Bengaluru,Python,Online,120999.38,60,Ongoing,Not Placed
6615,30-05-2023,East,Hyderabad,Cyber Security,Hybrid,221801.55,48,Ongoing,Not Eligible
6616,11-09-2023,North,Ahmedabad,Python,Hybrid,15208.59,61,Ongoing,Not Placed
6617,23-12-2021,South,Chennai,Web Development,Online,33253.23,70.10842186,Completed,Placed
6618,20-11-2022,East,Bengaluru,AI/ML,Online,193686.47,62,Dropped,Placed
6619,21-09-2020,East,Pune,Cyber Security,Hybrid,160222.99,91,Dropped,Not Placed
6620,12-06-2021,Central,Kolkata,Cyber Security,Hybrid,155819.81,77,Ongoing,Not Eligible
6621,18-03-2021,South,Hyderabad,AI/ML,Offline,144967.81,48,Ongoing,Not Eligible
6622,25-10-2021,North,Delhi,Cyber Security,Online,86678.97,46,Ongoing,Not Placed
6623,29-07-2021,South,Bengaluru,AI/ML,Offline,45961.92,92,Ongoing,Not Placed
6624,20-09-2022,East,Ahmedabad,Cloud Computing,Online,7743.56,57,Ongoing,Not Eligible
6625,12-10-2021,Central,Chennai,Cyber Security,Online,78331.22,64,Ongoing,Not Placed
6626,30-01-2022,North,Chennai,Cloud Computing,Hybrid,176367.56,93,Ongoing,Not Placed
6627,30-07-2023,Central,Bengaluru,Python,Hybrid,26952.56,70,Ongoing,Placed
6628,04-02-2022,Central,Delhi,Python,Online,141630.61,69,Ongoing,Not Placed
6629,09-07-2023,Central,Hyderabad,Python,Online,154435.74,98,Ongoing,Not Placed
6630,19-11-2020,South,Kolkata,Web Development,Online,39661.04,76,Dropped,Not Placed
6631,01-04-2022,West,Bengaluru,Data Science,Online,141254.2,75,Completed,Not Placed
6632,15-06-2023,Central,Chennai,Cyber Security,Online,220821.2,41,Ongoing,Not Placed
6633,02-06-2022,Central,Pune,Data Science,Offline,9267.43,62,Completed,Placed
